iter	Passed	Remaining
409	4747	6831
410	4758	6818
411	4769	6807
412	4780	6794
413	4792	6782
414	4803	6770
415	4814	6759
416	4825	6746
417	4835	6733
418	4847	6721
419	4858	6709
420	4870	6697
421	4881	6685
422	4892	6673
423	4904	6662
424	4917	6652
425	4929	6641
426	4940	6629
427	4951	6617
428	4962	6605
429	4974	6593
430	4984	6580
431	4995	6568
432	5007	6556
433	5018	6544
434	5029	6532
435	5040	6520
436	5052	6509
437	5063	6497
438	5075	6485
439	5087	6474
440	5098	6463
441	5109	6450
442	5121	6439
443	5133	6428
444	5145	6416
445	5156	6404
446	5167	6393
447	5179	6382
448	5191	6370
449	5202	6359
450	5214	6347
451	5227	6337
452	5238	6325
453	5250	6314
454	5263	6304
455	5274	6292
456	5285	6280
457	5296	6268
458	5308	6256
459	5319	6244
460	5330	6232
461	5341	6219
462	5352	6207
463	5363	6195
464	5373	6182
465	5384	6170
466	5396	6159
467	5407	6147
468	5420	6136
469	5432	6125
470	5443	6113
471	5454	6101
472	5465	6089
473	5477	6078
474	5488	6066
475	5500	6054
476	5511	6042
477	5523	6031
478	5534	6020
479	5546	6008
480	5557	5996
481	5570	5986
482	5582	5974
483	5594	5964
484	5605	5952
485	5617	5940
486	5630	5930
487	5641	5918
488	5652	5906
489	5663	5894
490	5674	5882
491	5685	5870
492	5697	5859
493	5708	5847
494	5722	5838
495	5734	5827
496	5746	5815
497	5757	5803
498	5769	5792
499	5781	5781
500	5792	5769
501	5804	5758
502	5816	5746
503	5827	5734
504	5838	5723
505	5850	5711
506	5861	5699
507	5873	5688
508	5884	5676
509	5896	5665
510	5907	5653
511	5921	5643
512	5933	5632
513	5944	5620
514	5955	5608
515	5966	5596
516	5977	5584
517	5989	5572
518	6001	5561
519	6012	5550
520	6023	5537
521	6034	5525
522	6045	5514
523	6056	5501
524	6068	5490
525	6080	5479
526	6093	5469
527	6105	5457
528	6116	5445
529	6128	5435
530	6140	5423
531	6151	5411
532	6162	5399
533	6172	5386
534	6184	5375
535	6195	5363
536	6206	5351
537	6218	5339
538	6229	5328
539	6241	5316
540	6252	5305
541	6264	5293
542	6275	5281
543	6287	5270
544	6298	5258
545	6309	5246
546	6320	5234
547	6335	5225
548	6346	5213
549	6359	5203
550	6372	5192
551	6384	5181
552	6396	5170
553	6407	5158
554	6419	5147
555	6431	5136
556	6443	5125
557	6456	5114
558	6467	5102
559	6479	5090
560	6490	5079
561	6502	5067
562	6513	5055
563	6524	5043
564	6535	5031
565	6546	5019
566	6557	5007
567	6568	4995
568	6579	4983
569	6591	4972
570	6602	4960
571	6613	4948
572	6624	4936
573	6636	4925
574	6648	4913
575	6659	4901
576	6669	4889
577	6681	4878
578	6693	4866
579	6703	4854
580	6715	4843
581	6727	4831
582	6741	4821
583	6753	4810
584	6764	4799
585	6776	4787
586	6787	4775
